direction,delta_1_2b_minus_418m_bleu,delta_1_2b_minus_418m_chrf2,delta_1_2b_minus_418m_repetition_percent,delta_1_2b_minus_418m_hit_max_tokens_percent,delta_1_2b_minus_418m_latency_p95_seconds
en-ru,4.922079805554475,4.0576683263918625,0.0,0.0,0.3779437300167046
en-uz,-0.1334192637964946,-1.5715849592821414,-2.0,0.0,0.2647924150398467
en-zh,2.9924418454474306,2.5210164262757573,0.0,0.0,0.36611907497281204
ru-en,7.691694142514457,5.235568796278493,0.0,0.0,0.3355718000850174
ru-uz,0.0009942698602630196,-3.9344625741506345,0.0,0.0,0.340880449960241
ru-zh,1.884708216858538,0.30725582375232463,0.0,0.0,0.2596481200191193
uz-en,0.594310798368203,-1.2941647282123405,0.0,0.0,0.9469048750121138
uz-ru,0.10409941579280146,-0.794430005773993,0.0,0.0,0.6590053499850913
uz-zh,0.39190600275353393,-0.6592512073635088,0.0,0.0,0.6054619250586253
zh-en,3.7831873775358282,3.582026815084184,0.0,0.0,0.299362130049849
zh-ru,3.057347478404573,2.898082856068399,0.0,0.0,0.46728756502270696
zh-uz,0.1445115594017522,-3.067488933494806,-6.0,0.0,0.26446440491126866
